2947.7507	230.035	2800.7534	267.02
160.17369	363.72592	-4.237127	294.4246
299.81046	431.91995	366.09814	457.74814
297.13306	421.92358	422.78436	469.5687
3069.6003	214.45569	2851.459	270.9096
2832.976	268.89587	2788.04	279.17545
2925.949	259.7754	2859.0037	275.01608
2988.939	161.62016	3067.9875	148.92183
2911.8801	220.34453	2868.503	228.28525
1.6062078	293.79227	90.33367	338.3275
2700.115	277.42667	2585.1067	308.3961
2822.0654	307.29044	2791.0625	314.27698
2944.0017	240.0078	2917.0242	246.1074
2904.1719	293.7626	2686.5095	342.8243
2845.0342	298.15573	2763.9985	315.99323
2940.753	186.31946	3042.0627	171.42737
3020.0469	264.1381	2933.8147	293.40094
2741.9937	243.9743	2766.0286	238.11754
2857.0596	283.26266	2807.1328	294.58533
2940.138	225.57365	2910.1875	232.7791
3006.9448	221.75978	2973.1243	229.53986
3027.9968	257.9852	2907.098	284.44675
2680.065	311.2649	2651.0933	318.3798
2741.9756	336.89584	2694.979	347.9109
2812.0088	297.03723	2782.0322	304.13647
3071.4998	255.1318	2947.1199	271.88953
2681.0295	276.1302	2721.008	267.03568
2845.0002	290.0008	2816.157	296.67767
2984.1377	271.623	2931.0781	283.35358
2751.5085	223.92593	2687.6772	240.77765
2804.9148	294.629	2774.157	301.68442
3070.3086	486.74066	2990.1675	500.9448
2947.208	212.89125	2920.0535	219.22931
3020.9812	234.91522	2973.1135	245.5127
3070.6367	551.7033	3016.183	561.0649
2819.1582	299.70175	2772.0706	310.31302
3044.089	245.36938	3012.97	252.87535
3070.0527	906.6443	3043.07	908.8562
2872.2244	288.01215	2822.032	299.14377
2925.0479	276.19888	2894.1504	283.6261
2945.1396	263.59763	2928.1335	267.57138
2961.104	295.47156	2995.9543	287.7926
2925.9858	267.93808	2895.013	275.05652
2969.9446	253.71014	2920.6436	263.13605
2957.9539	238.79077	3006.9968	227.98534
3069.1987	587.2144	3027.9924	593.95447
2633.0303	357.13727	2602.9456	363.75275
2651.036	361.17978	2552.5693	380.84277
